GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047023200,"Census Tract 232, Kings County, New York",total,6020,745,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_total,3023,399,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_5y,532,190,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_5_9,308,113,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_10_14,279,93,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_15_17,236,137,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_18_19,65,45,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_20,22,26,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_21,36,34,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_22_24,137,60,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_25_29,262,107,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_30_34,171,103,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_35_39,63,58,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_40_44,33,35,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_45_49,151,80,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_50_54,187,83,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_55_59,213,101,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_60_61,33,30,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_62_64,46,38,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_65_66,47,50,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_67_69,13,20,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_70_74,19,21,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_75_79,30,27,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_80_84,91,54,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",male_85,49,51,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",female_total,2997,430,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",female_5y,443,151,2009,2005-2009,Census Tract 232
36047023200,"Census Tract 232, Kings County, New York",female_5_9,412,134,2009,2005-2009,Census Tract 232
